2021/9/1,209372,61317,188.209.156.0/22,188.209.156.0/22,
2021/9/1,24321,133693,103.141.51.0/24,103.141.51.0/24,
2021/9/1,139659,36914,41.89.125.0/24,41.89.125.0/24,
2021/9/1,9744,36914,197.136.235.0/24,197.136.0.0/14,
2021/9/2,42440,60178,79.143.86.0/24,79.143.86.0/24,
2021/9/2,42440,60178,87.236.214.0/24,87.236.214.0/24,
2021/9/3,136800,264663,191.97.82.0/24,191.97.82.0/24,
2021/9/3,136052,135183,103.171.204.0/24,103.171.204.0/24,
2021/9/3,40676,57164,2602:fcff:17::/48,2602:fcff:17::/48,
2021/9/3,139426,8003,11.1.1.0/24,11.1.1.0/24,
2021/9/3,267797,14754,165.98.8.0/24,165.98.8.0/24,
2021/9/4,39368,207610,193.26.14.0/24,193.26.14.0/24,
2021/9/4,27566,28932,195.238.162.0/24,195.238.162.0/24,
2021/9/4,45753,4434,202.154.58.0/24,202.154.58.0/24,
2021/9/4,6453,38468,123.136.16.0/24,123.136.16.0/24,
2021/9/5,24429,270707,189.127.156.0/23,189.127.156.0/23,
2021/9/5,24429,270707,189.127.158.0/23,189.127.158.0/23,
2021/9/6,55933,22769,122.254.96.0/22,122.254.96.0/22,
2021/9/6,42853,9304,185.25.244.0/24,185.25.244.0/24,
2021/9/6,21859,136800,154.38.224.0/19,154.38.224.0/19,
2021/9/6,271208,271576,45.177.222.0/24,45.177.222.0/24,
2021/9/7,62425,202365,2a06:7243::/48,2a06:7243::/48,
2021/9/8,142578,45102,122.254.77.0/24,122.254.76.0/23,
2021/9/8,136933,36914,197.136.55.0/24,197.136.0.0/14,
2021/9/8,134729,135596,154.85.4.0/24,154.85.4.0/24,
2021/9/8,24940,12322,78.212.75.0/24,78.192.0.0/11,
2021/9/8,211452,6830,2a07:291b::/32,2a07:291b::/32,
2021/9/8,420080103,62947,148.51.130.0/24,148.51.130.0/24,
2021/9/8,420080103,62947,208.66.141.0/24,208.66.141.0/24,
2021/9/9,7552,134774,220.231.194.0/24,220.231.192.0/18,
2021/9/9,6939,270847,179.43.20.0/24,179.43.20.0/24,
2021/9/9,6939,270847,179.43.21.0/24,179.43.21.0/24,
2021/9/9,5511,43673,82.196.67.0/24,82.196.67.0/24,
2021/9/9,5511,43673,91.198.98.0/24,91.198.98.0/24,
2021/9/9,38534,2152,130.166.131.0/24,130.166.0.0/16,
2021/9/10,133159,7377,44.31.48.0/24,44.0.0.0/9,
2021/9/10,64286,43233,192.142.225.0/24,192.142.224.0/19,
2021/9/10,41151,209820,185.40.140.0/24,185.40.140.0/24,
2021/9/10,42440,43211,185.188.107.0/24,185.188.107.0/24,
2021/9/10,133201,14201,170.65.161.0/24,170.65.161.0/24,
2021/9/10,398826,57972,196.196.2.0/23,196.196.2.0/23,
2021/9/10,398826,57972,196.196.24.0/23,196.196.24.0/23,
2021/9/10,271267,270448,190.115.93.0/24,190.115.93.0/24,
2021/9/10,265345,393494,172.62.0.0/24,172.62.0.0/20,
2021/9/10,265345,13335,172.65.0.0/24,172.65.0.0/20,
2021/9/10,265345,13335,172.67.0.0/24,172.67.0.0/20,
2021/9/10,133201,142552,103.154.187.0/24,103.154.187.0/24,
2021/9/11,133201,36914,197.138.19.0/24,197.136.0.0/14,
2021/9/11,133201,271930,45.133.76.0/24,45.133.76.0/24,
2021/9/11,6453,133995,103.109.211.0/24,103.109.211.0/24,
2021/9/11,11537,2500,2001:200:e000:853::/64,2001:200::/32,
2021/9/11,11537,7660,2001:200:e000:853::/64,2001:200:e000::/35,
2021/9/11,212012,2830,185.42.232.0/24,185.42.232.0/24,
2021/9/11,262253,270716,189.127.188.0/24,189.127.188.0/24,
2021/9/12,19905,4352,122.248.19.0/24,122.248.16.0/21,
2021/9/13,65666,146846,103.217.88.0/24,103.217.88.0/24,
2021/9/13,65666,146846,103.217.89.0/24,103.217.89.0/24,
2021/9/13,29538,21859,128.1.152.0/24,128.1.152.0/24,
2021/9/13,212594,22773,45.152.37.0/24,45.152.37.0/24,
2021/9/13,29538,137443,128.1.31.0/24,128.1.31.0/24,
2021/9/13,43260,209372,212.68.176.0/24,212.68.176.0/22,
2021/9/13,43260,209372,212.68.177.0/24,212.68.176.0/22,
2021/9/13,1653,7377,44.5.16.0/21,44.0.0.0/9,
2021/9/13,12679,1239,94.137.72.0/22,94.137.72.0/22,
2021/9/14,43727,8075,20.10.10.0/24,20.0.0.0/11,
2021/9/14,34224,263374,191.37.225.9/32,191.37.225.0/24,
2021/9/14,49434,212178,194.87.212.0/24,194.87.212.0/24,
2021/9/14,328239,174,206.185.63.0/24,206.185.0.0/16,
