205506,39164
12675,19017
394268,35627
202844,6163
132839,29701
265717,26837
41935,21809
199478,5951
43338,4377
54665,5129
263441,55978
139488,68749
44507,10514
22908,2771
8711,40908
25955,464
18640,2317
38387,42856
395550,36633
38667,27538
136234,54012
141746,62041
30118,3338
40867,10330
48294,12744
40451,8324
205877,42391
269862,25558
211141,59027
23674,50375
36484,3945
138868,67423
398961,33236
140769,54059
28036,47272
1042,44554
197084,19721
4323,18273
17485,42744
399046,33238
136698,66204
208564,31284
11396,1619
134342,68785
56869,13828
28114,36147
16919,19345
135133,43153
51667,58087
395774,7139
139604,67254
140966,66224
137054,68724
25527,54800
202120,10142
131314,10094
197257,69751
133434,28706
17612,27444
196846,52692
46178,24950
4790,27304
263425,49828
20626,34422
263767,26795
208669,61656
393619,6884
18524,23984
35343,42212
265479,28048
139724,68397
60154,13858
19321,47769
200999,6046
208603,49412
50545,39405
62991,51424
9607,14918
13154,17642
33313,3679
19110,58376
34311,20137
19533,72893
40526,4177
28275,15200
12422,19073
40065,9097
42133,59321
23624,15079
53346,21879
199729,42504
16354,47257
203243,61858
136392,37682
55259,32731
13034,20538
133735,26748
60311,48951
139280,69342
265107,55666
13778,8948
264691,37274
49875,46776
23881,2860
208061,62122
60621,54469
43372,21820
266330,65492
198931,18357
212178,62202
27585,3160
29414,41292
394819,36599
262437,55630
264046,17935
399968,65913
17035,19347
328815,57551
42797,46854
142617,72993
22393,21705
13824,23801
34805,31386
59574,22156
52626,27921
55381,20211
54943,53287
28150,26520
131246,28394
53434,58617
9031,643
12619,14327
268851,72104
37016,27191
63430,5651
14949,44323
5617,13381
48390,19012
31234,3445
44527,15392
23183,24270
393967,25959
42676,13117
54466,15608
55516,50548
54671,36456
136338,16073
328880,19001
141565,68616
49884,31774
25375,2914
197453,13925
52946,70544
16908,2210
2675,10215
15303,10776
208024,45430
207798,22303
206667,57205
61889,48438
203704,6224
63774,15761
270515,55809
51130,62415
212237,51870
29045,3233
263709,33308
53209,15592
44485,22240
61054,13305
36555,8288
56318,62698
24389,50292
131225,12372
396950,52743
200486,69957
16928,10813
12188,10235
263664,65786
14395,49685
36492,13649
25285,11815
42136,45872
268743,12935
206026,59602
30070,11102
211557,46791
328592,60065
24349,28277
206595,59530
267209,72526
46489,821
35321,57403
15080,23882
7677,18793
7286,35737
26246,3008
266193,44955
397198,37418
394309,53056
14060,23820
25921,8063
139922,43370
8997,41511
134278,15944
57414,31313
12196,32819
41753,22684
33169,3664
131421,54027
59909,14579
44323,39766
61673,49799
268166,71032
269940,64941
34352,735
9981,37957
197380,22778
46870,36387
213387,19591
268661,17116
13367,23770
202670,30819
63403,13889
138147,29843
16154,34382
399867,72859
56707,46069
7860,33295
10126,26017
31133,218
211373,41811
264764,47285
196852,33854
140500,61422
132489,63081
269799,51889
63206,32183
393989,6926
58765,15674
45361,27552
133723,43573
53578,25073
201587,63544
34182,47396
48400,39534
50867,20518
271537,17394
203171,19846
398208,51371
201604,13973
202451,6141
1299,1094
17388,23977
266972,71582
132133,43738
54904,51120
396865,58264
398639,38497
26782,3080
202943,59747
51593,20936
262268,16340
3104,32779
60820,61950
39857,14467
199623,69785
49829,4795
265762,71828
266791,37066
36884,3982
266801,71135
202230,18429
39084,21519
43635,4396
48549,4726
23310,34447
40917,24909
39545,34605
54449,33096
10132,43902
61729,15714
16563,2163
57123,46080
34024,31646
205356,11678
8890,31854
398642,25892
267059,71336
137151,43224
29655,9893
209476,41130
198502,21108
47696,52610
15557,2076
268237,72619
140398,53949
197825,22583
9387,42951
140002,60796
21171,54769
133469,15884
41253,31909
205427,64284
37140,60180
3909,7608
205904,69713
142346,66370
56820,20973
271012,72412
212815,16336
131234,28253
396383,44372
270953,70722
37668,27204
201457,54870
4965,1240
64231,25296
36366,36283
32941,11945
46147,8348
263476,71952
138424,43344
9628,27332
2554,28616
34290,9073
45968,29667
44063,41829
199428,57942
268243,17056
264810,53397
134608,28260
139835,67331
25806,24336
207496,19753
212324,70158
26621,44239
208671,61368
395055,25709
201735,67550
56910,5248
15426,40071
1102,12140
31782,55141
267111,56375
212377,46382
328733,60363
27749,55018
53168,49794
266664,26853
398924,53344
1942,18534
131387,50960
266878,26867
61832,10086
38891,20156
202268,46701
38062,30294
394450,25664
14197,47685
206436,61074
136665,16092
63493,62747
17356,2260
212363,57720
52002,40398
27256,51119
199278,46754
9084,11570
28399,51055
200865,60931
24085,37895
16638,10790
19397,2408
197779,64201
22263,36027
269980,26933
265499,65320
49039,54727
1921,12571
1678,1113
13948,11901
201067,21971
209223,61822
269172,72578
29917,3306
264919,49862
266547,56146
9809,30204
395266,7074
28809,40503
13003,61426
399522,7456
51559,34841
134744,62634
63480,5661
51786,306
35263,34558
270940,55406
201403,6069
40528,20162
209241,51847
135190,43157
59322,29769
40488,24881
47965,39032
23711,38063
42218,39400
262979,16485
32694,47663
203244,69678
64290,51397
34802,20722
212713,21255
30171,24519
61428,20229
271851,64950
8167,20629
54820,11350
398433,7378
23170,10991
203435,46989
201008,39641
28000,32355
64228,5679
23517,24305
213106,13329
36477,36292
60931,63398
40478,53122
35629,63608
208232,33849
44126,49001
29644,57158
23067,24259
62964,5578
